id,text,language,service,behavior,sentiment,aspect,issue,severity,abuse,complexity,suggestion
EC001,Shoes are genuine and cushioning is top-notch for daily morning runs.,english,ecommerce,appreciation,positive,product_quality,none,none,none,simple,none
EC002,"The microwave oven functions smoothly, but the outer cardboard container was torn and dented on two corners.",english,ecommerce,complaint,mixed,packaging,packaging_problem,low,none,complex,Reinforce heavy appliance carton packaging
EC003,bhai 5 din ho gaye return request dale hue abhi tak courier pickup boy nahi aaya,hinglish,ecommerce,complaint,negative,return,return_delay,medium,none,moderate,Schedule prompt return pickups
EC004,Where can I track the exact refund credit reference number for my cancelled trimmer?,english,ecommerce,question,neutral,refund,none,none,none,moderate,none
EC005,kurti ka fabric ekdum soft cotton hai aur color wash ke baad bhi fade nahi hua,hinglish,ecommerce,appreciation,positive,product_quality,none,none,none,simple,none
EC006,Sellers should clearly specify whether the laptop RAM is soldered or user-upgradable.,english,ecommerce,suggestion,neutral,product_description,none,none,none,moderate,Mention expandable RAM details on spec sheet
EC007,ordered a set of 6 ceramic coffee mugs but received only 4 in the bubble wrap,english,ecommerce,complaint,negative,missing_item,missing_item,medium,none,moderate,Verify item count during dispatch
EC008,"I wouldn't call this mixer grinder useless, but the motor gets hot within three minutes of dry grinding.",english,ecommerce,complaint,mixed,product_quality,poor_quality,low,none,complex,none
EC009,ordered an XL casual linen shirt but received small size with wrong brand tag completely useless,english,ecommerce,complaint,negative,wrong_product,wrong_product,high,none,moderate,Ensure strict barcode verification before bagging
EC010,Package arrived on Tuesday evening via surface transport as indicated on the tracking page.,english,ecommerce,informational,neutral,delivery_time,none,none,none,simple,none
EC011,bhai 15 din se refund pending hai customer service wale bilkul nikamme aur chor hain,hinglish,ecommerce,complaint,negative,customer_support,poor_customer_support,high,severe,Expedite refund process immediately,
EC012,Packaging was excellent with triple layer bubble film protecting the glass baking dish.,english,ecommerce,appreciation,positive,packaging,none,none,none,simple,none
EC013,Can I exchange this formal blazer for one size smaller without cancelling the applied coupon discount?,english,ecommerce,question,neutral,replacement,none,none,none,moderate,none
EC014,wireless earbuds sound tinny and have zero bass completely opposite of the product description,english,ecommerce,complaint,negative,product_features,poor_quality,medium,none,moderate,Provide accurate audio driver specifications
