id,text,language,service,behavior,sentiment,aspect,issue,severity,abuse,complexity,suggestion
ED001,The physics faculty breaks down complex numerical problems with intuitive visual analogies.,english,education,appreciation,positive,teaching_quality,none,none,none,simple,none
ED002,"The live lectures are undeniably engaging, but the learning app constantly logs users out during full-screen playback.",english,education,complaint,mixed,learning_app,app_issue,medium,none,complex,Fix persistent session logout glitch on mobile app
ED003,bhai 15 din ho gaye course cancel kiye hue abhi tak refund mere bank account me nahi aaya,hinglish,education,complaint,negative,refund,refund_delay,high,none,moderate,Process student fee refunds within committed timeframes
ED004,What is the minimum attendance percentage required to sit for the end-semester laboratory practicals?,english,education,question,neutral,attendance,none,none,none,moderate,none
ED005,Doubt clearing session me mentor ne saare coding questions step-by-step debug karke dikhaye maza aa gaya.,hinglish,education,appreciation,positive,doubt_solving,none,none,none,simple,none
ED006,Colleges should upload finalized semester examination timetables at least four weeks before practical exams begin.,english,education,suggestion,neutral,timetable,none,none,none,moderate,Publish exam timetables four weeks in advance
ED007,"the online portal crashed right during the last ten minutes of the timed GATE mock test, erasing all my marked responses",english,education,complaint,negative,test,test_issue,high,none,moderate,Implement auto-save caching on test portals
ED008,"I wouldn't describe the study notes as useless, but the complete lack of worked-out examples makes revision tedious.",english,education,complaint,mixed,study_material,poor_study_material,low,none,complex,Include solved numerical examples in module notes
ED009,enrolled in the English speaking batch but the teacher conducts the entire lecture in colloquial dialect without explanation,english,education,complaint,negative,lecture,poor_teaching,medium,none,moderate,Ensure classes align strictly with advertised medium of instruction
ED010,Submitted the data structures programming assignment on Thursday evening before the midnight deadline via git repo.,english,education,informational,neutral,assignment,none,none,none,simple,none
ED011,bhai admission cell wale call pe sidhe muh baat nahi karte itna arrogant aur batameez staff hai,hinglish,education,complaint,negative,admission,poor_facility,high,mild,Train admission counseling staff in professional etiquette,
ED012,"The central library reading hall is air-conditioned, well lit, and maintains strict pin-drop silence.",english,education,appreciation,positive,library,none,none,none,simple,none
ED013,Can students opt for installment payment plans for the full-stack web development bootcamp fee?,english,education,question,neutral,fees,none,none,none,moderate,none
ED014,audio feeds on the live lecture kept echoing and screeching for forty minutes while the tutor ignored student chat alerts,english,education,complaint,negative,online_class,online_class_issue,medium,none,moderate,Monitor live classroom audio feeds actively
ED015,hardcopy study modules promised during offline orientation were missing three entire core mathematics booklets,english,education,complaint,negative,study_material,poor_study_material,medium,none,simple,Dispatch complete set of printed module booklets
ED016,bhai test series ka evaluation 3 hafte se pending hai rank list kab nikaloge?,hinglish,education,complaint,negative,test,test_issue,medium,none,moderate,Release mock test evaluation and percentiles promptly
ED017,"The organic chemistry teacher handles reaction mechanisms masterfully, defying my initial dread of the subject.",english,education,appreciation,positive,teacher,none,none,none,moderate,none
ED018,Coaching institutes should provide searchable text transcripts alongside recorded video lectures for quick keyword lookup.,english,education,suggestion,neutral,recorded_lecture,none,none,none,moderate,Provide searchable transcripts for recorded lectures
ED019,bhai coupon code checkout pe apply ho gaya par payment gateway ne bina discount ke full amount debit kar diya,hinglish,education,complaint,negative,fees,fee_issue,medium,none,moderate,Sync promotional discounts across checkout payment gateways
ED020,The student mentor reached out personally to discuss study roadmaps and provided realistic weekly target plans.,english,education,appreciation,positive,student_support,none,none,none,moderate,none
ED021,"Although the daily practice worksheets are well-curated, the answer keys contain multiple typographical errors.",english,education,complaint,mixed,study_material,assignment_issue,low,none,complex,Proofread practice problem answer keys thoroughly
ED022,the computer science lab machines run obsolete software and half the keyboards have missing keys,english,education,complaint,negative,campus,poor_facility,high,none,moderate,Upgrade laboratory hardware and operating environments
ED023,semester fee slip download ho gayi aur receipt pe transaction reference number bhi clearly printed tha,hinglish,education,informational,neutral,fees,none,none,none,simple,none
ED024,Does this university offer official credit transfers for courses completed on recognized online platforms?,english,education,question,neutral,university,none,none,none,moderate,none
ED025,Pathetic management took sixty thousand rupees fee and cancelled batch without warning bloody money minded frauds,english,education,complaint,negative,admission,admission_issue,high,severe,Do not cancel enrolled batches abruptly without restitution,
ED026,dsa mentor ne dynamic programming itne easy visual way me padhai ki saare recursive tree doubts clear ho gaye,hinglish,education,appreciation,positive,teaching_quality,none,none,none,simple,none
ED027,"I wouldn't say the mock tests are entirely unhelpful, but their difficulty level is completely detached from the actual exam pattern.",english,education,complaint,mixed,test,test_issue,medium,none,complex,Align mock test difficulty with contemporary exam trends
ED028,Course completion certificate arrived digitally with verifiable QR code within two hours of passing the capstone project.,english,education,appreciation,positive,certificate,none,none,none,moderate,none
ED029,kya migration certificate apply karne ke liye physical college counter pe jana mandatory hai?,hinglish,education,question,neutral,certificate,none,none,none,simple,none
ED030,"Hostel warden was extremely rude, refused to look into the non-functional geysers and yelled at resident scholars.",english,education,complaint,negative,campus,poor_facility,medium,mild,Ensure hostel wardens address basic maintenance grievances politely,
ED031,The live lecture video playback freezes every time the instructor switches between slide deck and IDE screen.,english,education,complaint,negative,online_class,online_class_issue,medium,none,moderate,Optimize screen share resolution switches in lecture software
ED032,Platform crashed during the live scholarship test and answers could not be submitted despite multiple attempts.,english,education,complaint,negative,website,website_issue,high,none,complex,Enhance server load balancing during scholarship exams
ED033,"The instructor's subject knowledge is impressive, although their pace of speaking is so hurried that taking notes is impossible.",english,education,appreciation,mixed,teaching_quality,unclear_explanation,low,none,complex,Pace spoken explanations to allow effective note-taking
ED034,bhai offline library me Wi-Fi speed itni slow hai ki research papers download tak nahi hote,hinglish,education,complaint,negative,library,poor_facility,medium,none,moderate,Upgrade library Wi-Fi bandwidth infrastructure
ED035,"Comprehensive question bank with detailed video solutions for each challenging numerical, superb resource.",english,education,appreciation,positive,study_material,none,none,none,moderate,none
ED036,kya college mess me healthy Jain meal options provide kiye jate hain regularly?,hinglish,education,question,neutral,campus,none,none,none,moderate,none
ED037,Lab technician patiently guided each team through oscilloscope calibrations during the analog electronics lab exam.,english,education,appreciation,positive,faculty,none,none,none,complex,none
