id,text,language,service,behavior,sentiment,aspect,issue,severity,abuse,complexity,suggestion
TR001,"The deluxe room was spotless, linens smelled fresh, and balcony offered panoramic sunrise mountain views.",english,travel_hotels,appreciation,positive,room_cleanliness,none,none,none,simple,none
TR002,"The room interior was modern and spacious, but reception took forty-five minutes to process room keys during afternoon check-in.",english,travel_hotels,complaint,mixed,check_in,checkin_delay,medium,none,complex,Streamline front desk check-in documentation
TR003,bhai 10 din ho gaye hotel booking cancel kiye hue abhi tak bank refund reflect nahi hua,hinglish,travel_hotels,complaint,negative,refund,refund_delay,high,none,moderate,Process hotel cancellation refunds within committed timelines
TR004,Is complimentary early morning airport shuttle service included in the standard executive room tariff?,english,travel_hotels,question,neutral,amenities,none,none,none,moderate,none
TR005,Buffet breakfast me hot idlis aur crispy vadas mast the service bhi attentive thi.,hinglish,travel_hotels,appreciation,positive,breakfast,none,none,none,simple,none
TR006,Hotels should mention non-refundable deposit terms prominently before guests submit card details on checkout page.,english,travel_hotels,suggestion,neutral,cancellation,none,none,none,moderate,Display cancellation terms prominently before payment
TR007,"hotel refused check-in claiming full occupancy despite pre-paid confirmed booking voucher in hand, left stranded at midnight",english,travel_hotels,complaint,negative,booking,booking_failure,high,none,moderate,Strictly prohibit overbooking confirmed hotel rooms
TR008,"I wouldn't describe the property as uninviting, but the bathroom fixtures had severe lime scale and low water pressure.",english,travel_hotels,complaint,mixed,bathroom,bathroom_issue,low,none,complex,Descale and service bathroom shower fixtures
TR009,"flight was rescheduled by six hours without any email alert, missed pre-booked intercity connecting train completely",english,travel_hotels,complaint,negative,flight,flight_booking_issue,high,none,moderate,Send immediate automated alerts for flight schedule changes
TR010,Arrived at New Delhi railway station executive lounge at 6:30 AM and checked into platform coach by 7:00 AM.,english,travel_hotels,informational,neutral,train,none,none,none,simple,none
TR011,bhai front desk manager itna batameez aur arrogant hai room change request pe chillane laga idiot staff,hinglish,travel_hotels,complaint,negative,hotel_staff,poor_staff_behavior,high,mild,Train hospitality staff in courteous conflict resolution,
TR012,"Housekeeping sanitized the room daily, replenished organic tea sachets, and kept soft towels neatly stacked.",english,travel_hotels,appreciation,positive,room_cleanliness,none,none,none,simple,none
TR013,Can guests request late check-out until 3 PM without incurring full day room billing surcharges?,english,travel_hotels,question,neutral,check_out,none,none,none,moderate,none
TR014,"the hotel swimming pool water was murky green with strong algae odor, completely unusable for families",english,travel_hotels,complaint,negative,amenities,amenity_unavailable,medium,none,moderate,Maintain continuous pool filtration and chemical balancing
TR015,intercity sleeper bus was cancelled two hours prior to midnight boarding leaving twenty passengers stranded on highway,english,travel_hotels,complaint,negative,bus,bus_booking_issue,high,none,simple,Provide guaranteed replacement coaches for cancelled bus trips
TR016,bhai Wi-Fi signal room ke andar bilkul dead tha reception pe jake corridor me email check karni padi,hinglish,travel_hotels,complaint,negative,wifi,wifi_issue,medium,none,moderate,Install access point boosters across all hotel corridors
TR017,"The heritage haveli resort has breathtaking architecture, though the dining menu prices were considerably inflated for simple dal tadka.",english,travel_hotels,appreciation,mixed,price,high_price,low,none,moderate,none
TR018,Travel booking platforms should allow filtering hotels strictly by verified soundproof room ratings.,english,travel_hotels,suggestion,neutral,hotel_room,none,none,none,moderate,Introduce verified soundproof room search filters
TR019,bhai app pe round-trip flight booking execute ki payment deduct ho gayi par PNR ticket generate nahi hua,hinglish,travel_hotels,complaint,negative,flight,booking_failure,high,none,moderate,Automate immediate PNR generation or instant refund
TR020,The hotel concierge arranged an early morning packed breakfast box and booked verified local taxi to sunrise viewpoint.,english,travel_hotels,appreciation,positive,hospitality,none,none,none,moderate,none
TR021,"Although the mountain resort location was serene, the room heater stopped functioning during sub-zero night temperatures.",english,travel_hotels,complaint,mixed,amenities,amenity_unavailable,medium,none,complex,Ensure backup heating units in high-altitude resort rooms
TR022,dirty stained bedsheets with hair strands and damp musty pillow covers straight out of laundry pile disgusting hygiene,english,travel_hotels,complaint,negative,room_cleanliness,dirty_room,high,none,moderate,Enforce strict linen inspection before dressing beds
TR023,"checked into budget hotel near railway station at 12 noon, paid 1400 rupees including basic tax invoice.",hinglish,travel_hotels,informational,neutral,hotel_room,none,none,none,simple,none
TR024,Does this beachside resort offer wheelchair accessible pathways from cottages directly to the private shore?,english,travel_hotels,question,neutral,amenities,none,none,none,moderate,none
TR025,Pathetic fraud hotel took advance tariff online and when reached location building was an abandoned construction site bloody thieves,english,travel_hotels,complaint,negative,booking,booking_failure,high,severe,Physically audit listed hotel properties on booking portals,
TR026,resort staff ne kids ke liye complimentary hot milk aur extra blankets arrange karwaye very caring hospitality,hinglish,travel_hotels,appreciation,positive,hospitality,none,none,none,simple,none
TR027,"I wouldn't say the budget hotel was unlivable, but the room lacked any exterior window making ventilation stuffy.",english,travel_hotels,complaint,mixed,hotel_room,small_room,low,none,complex,Specify windowless room configurations clearly in listings
TR028,"Smooth express check-out, settled minibar charges digitally via UPI, invoice emailed within three minutes.",english,travel_hotels,appreciation,positive,check_out,none,none,none,moderate,none
TR029,kya domestic flight booking me infant lap baggage allowance free of charge included hota hai?,hinglish,travel_hotels,question,neutral,flight,none,none,none,simple,none
TR030,"Receptionist was extremely dismissive, scrolled personal phone while guests waited for keycards, and gave incorrect breakfast timings.",english,travel_hotels,complaint,negative,reception,poor_staff_behavior,medium,mild,Ensure front desk staff remain attentive to arriving guests,
TR031,"Air conditioner leaked water continuously onto the bedroom carpet, creating an unpleasant squelching odor throughout our stay.",english,travel_hotels,complaint,negative,hotel_room,room_cleanliness,medium,none,moderate,Service internal AC drain pipes before guest check-in
TR032,Booking application crashed during festival weekend flash sale and deducted money twice without confirming hotel voucher.,english,travel_hotels,complaint,negative,payment,payment_issue,high,none,complex,Stabilize payment gateway session handling on travel apps
TR033,"The hotel food was delicious and authentic, although the kitchen took over sixty minutes to deliver a simple club sandwich to room.",english,travel_hotels,appreciation,mixed,food,food_quality,low,none,complex,Improve in-room dining preparation and delivery speed
TR034,bhai sleeper bus seat number confirm tha par conductor ne boarding pe bola seat kisi aur ko bech di,hinglish,travel_hotels,complaint,negative,bus,bus_booking_issue,high,none,moderate,Enforce strict seat reservations on intercity bus charters
