id,text,language,service,behavior,sentiment,aspect,issue,severity,abuse,complexity,suggestion
CB001,Driver arrived two minutes ahead of time and helped load heavy luggage into the boot.,english,cab_transport,appreciation,positive,driver,none,none,none,simple,none
CB002,"The sedan was clean and air conditioning was cool, but the driver took an unnecessary detour through congested back lanes.",english,cab_transport,complaint,mixed,route,long_route,medium,none,complex,Optimize navigation to avoid narrow congested bypasses
CB003,bhai ride cancel kar di driver ne 15 minute wait karwane ke baad cancellation fee mujhpe laga di,hinglish,cab_transport,complaint,negative,cancellation,driver_cancelled,high,none,moderate,Waive cancellation fees when driver cancels after long wait
CB004,Can I schedule an airport drop cab four days in advance with guaranteed driver assignment?,english,cab_transport,question,neutral,booking,none,none,none,moderate,none
CB005,Auto booking accept ho gayi turant aur driver ne meter rate se hi payment liya.,hinglish,cab_transport,appreciation,positive,fare,none,none,none,simple,none
CB006,Cab booking platforms should display upfront whether toll plaza charges are included in the estimated trip fare.,english,cab_transport,suggestion,neutral,fare,none,none,none,moderate,Show toll inclusions clearly on fare estimate
CB007,the driver demanded three hundred rupees extra in cash outside the railway station and refused to start trip,english,cab_transport,complaint,negative,fare,payment_issue,high,none,moderate,Penalize drivers demanding offline cash supplements
CB008,"I wouldn't describe the vehicle as completely filthy, but the seat covers had faint tea stains and smelled of stale tobacco.",english,cab_transport,complaint,mixed,vehicle_cleanliness,unclean_vehicle,low,none,complex,Enforce strict interior vehicle cleanliness inspections
CB009,driver kept vehicle stationary for twenty minutes two kilometers away refusing to answer calls or cancel,english,cab_transport,complaint,negative,pickup,driver_late,medium,none,moderate,Auto-reassign stationary drivers who ignore calls
CB010,Boarded the cab at 7:15 AM from Indiranagar and reached Kempegowda International Airport terminal at 8:25 AM.,english,cab_transport,informational,neutral,ride_time,none,none,none,simple,none
CB011,bhai customer support executive itna batameez hai refund ticket pe generic bot reply paste karke call cut kar di,hinglish,cab_transport,complaint,negative,customer_support,poor_communication,high,mild,Ensure human escalation for disputed fare tickets,
CB012,"Driver drove very smoothly on the expressway, strictly obeying lane discipline and speed limits.",english,cab_transport,appreciation,positive,safety,none,none,none,simple,none
CB013,Can passengers add two intermediate drop-off waypoints during an ongoing outstation round trip?,english,cab_transport,question,neutral,route,none,none,none,moderate,none
CB014,the taxi broke down on the elevated flyover during peak office hours due to an overheating radiator,english,cab_transport,complaint,negative,vehicle_condition,poor_vehicle_condition,high,none,moderate,Mandate routine mechanical fitness certifications for cabs
CB015,driver refused to switch on the air conditioning claiming CNG fares do not cover AC usage,english,cab_transport,complaint,negative,vehicle,vehicle_problem,medium,none,simple,Enforce mandatory air conditioning on standard sedan bookings
CB016,bhai surge price 3x laga diya barish ke time 200 ki ride 650 rupay ki bana di loot macha rakhi hai,hinglish,cab_transport,complaint,negative,surge_pricing,surge_price,high,none,moderate,Cap excessive surge pricing multipliers during rain
CB017,"The chauffeur was exceptionally polite and drove safely, though the final fare was slightly higher due to heavy highway toll additions.",english,cab_transport,appreciation,mixed,fare,none,low,none,complex,none
CB018,Ride hailing apps should allow women passengers to opt for verified female drivers during late night travel.,english,cab_transport,suggestion,neutral,safety,none,none,none,moderate,Introduce optional female driver preference for night rides
CB019,bhai app me wallet payment deduct ho gaya par driver ke device pe cash payment pending dikha raha tha,hinglish,cab_transport,complaint,negative,payment,payment_issue,medium,none,moderate,Sync passenger digital wallet payments instantly with driver app
CB020,"The driver arrived right at the society exit gate, handled luggage respectfully, and offered water bottles.",english,cab_transport,appreciation,positive,driver,none,none,none,moderate,none
CB021,"Although the hatchback arrived within three minutes, the rear seatbelt buckles were jammed under the upholstery.",english,cab_transport,complaint,mixed,safety,poor_vehicle_condition,medium,none,complex,Ensure rear passenger seatbelts remain accessible
CB022,driver was continuously scrolling social media reels on dashboard mount while navigating crowded intersection,english,cab_transport,complaint,negative,safety,safety,high,none,moderate,Prohibit phone screen distractions while driving
CB023,ride fare was 240 rupees and dropped at metro station gate number two without any confusion.,hinglish,cab_transport,informational,neutral,dropoff,none,none,none,simple,none
CB024,Does the outstation booking tariff include night driver allowance for trips extending past 11 PM?,english,cab_transport,question,neutral,fare,none,none,none,moderate,none
CB025,Driver started abusing loudly and threatened violence when asked to enter the gated residential layout bloody hooligan,english,cab_transport,complaint,negative,driver,poor_communication,high,severe,Deactivate aggressive drivers threatening passenger safety,
CB026,auto driver bhaiya ne traffic jam bypass karne ke liye short cut liya aur 10 minute pehle station drop kar diya,hinglish,cab_transport,appreciation,positive,navigation,none,none,none,simple,none
CB027,"I wouldn't call the driver unprofessional, but driving the entire ring road in second gear with whining engine was uncomfortable.",english,cab_transport,complaint,mixed,vehicle_condition,poor_vehicle_condition,low,none,complex,Train commercial drivers in smooth gear operation
ED028,Refund for the duplicate booking charge was credited to my original UPI account within ten minutes.,english,cab_transport,appreciation,positive,refund,none,none,none,moderate,none
CB029,kya airport pickup zone me driver ko extra parking toll cash me dena padta hai?,hinglish,cab_transport,question,neutral,fare,none,none,none,simple,none
CB030,Customer support bot closed the safety incident ticket stating trip was completed normally without reading my complaint.,english,cab_transport,complaint,negative,customer_support,support_delay,high,mild,Ensure human review of safety-related dispute reports,
CB031,"GPS tracking marker on the app was lagging by two kilometers, showing driver on bridge while he was at gate.",english,cab_transport,complaint,negative,tracking,tracking_issue,medium,none,moderate,Improve real-time GPS telemetry refresh rates on app
CB032,Ride hailing app crashed during active trip navigation and the fare receipt doubled upon re-opening.,english,cab_transport,complaint,negative,app,app_issue,high,none,complex,Prevent fare recalibration errors during app crashes
CB033,"The driver reached the terminal swiftly, though the trunk space was entirely occupied by a large CNG cylinder.",english,cab_transport,appreciation,mixed,vehicle,vehicle_problem,low,none,complex,Indicate reduced luggage capacity on CNG vehicle listings
CB034,bhai pickup pin map pe exact office gate pe thi par driver 500 meter door flyover ke niche khada raha,hinglish,cab_transport,complaint,negative,pickup,wrong_pickup_location,medium,none,moderate,Improve driver in-app map guidance to exact building gates
CB035,"Zero surge pricing on early morning college route, friendly cabbie, and pristine sanitized dashboard.",english,cab_transport,appreciation,positive,fare,none,none,none,moderate,none
CB036,kya scheduled ride confirm hone ke baad driver details advance me SMS pe receive hoti hain?,hinglish,cab_transport,question,neutral,booking,none,none,none,moderate,none
CB037,Driver waited patiently for eight minutes outside the hospital entrance without complaining while we escorted elderly patient.,english,cab_transport,appreciation,positive,driver,none,none,none,complex,none
CB038,"Vehicle interior was spotless, fresh jasmine air freshener, and seats were clean without any dust.",english,cab_transport,appreciation,positive,vehicle_cleanliness,none,none,none,moderate,none
CB039,"Tyres on the commercial cab were completely bald without tread, skidding dangerously on wet monsoon tarmac.",english,cab_transport,complaint,negative,safety,poor_vehicle_condition,high,none,moderate,Enforce minimum tyre tread depth standards on fleet vehicles
CB040,cab ka wait 30 min se kar rahe hain live map pe driver ek hi jagah khada h,hinglish,cab_transport,complaint,negative,waiting_time,long_wait,medium,none,simple,Reassign stagnant drivers automatically
CB041,"While the driver was courteous and drove gently, the car's front suspension squeaked loudly over every single rumble strip.",english,cab_transport,complaint,mixed,vehicle_condition,poor_vehicle_condition,low,none,complex,Service vehicle shock absorbers and suspension bushes
CB042,Can customer support issue an itemized business tax invoice showing enterprise GSTIN for corporate claims?,english,cab_transport,question,neutral,customer_support,none,none,none,moderate,none
CB043,auto fare meter se 80 rupay banta tha par driver ne platform booking ka bahana banakar 180 rupay demand kiye,hinglish,cab_transport,complaint,negative,fare,high_fare,medium,none,simple,Align app auto fares with municipal meter tariffs
CB044,Everything was running smoothly until the driver stopped at a fuel station queue for twenty minutes without asking.,english,cab_transport,complaint,mixed,ride,ride_time,medium,none,moderate,Prohibit unscheduled refueling stops during active passenger trips
CB045,Cab platforms should permit passengers to mute in-cab radio or entertainment screens directly via passenger app.,english,cab_transport,suggestion,neutral,vehicle,none,none,none,moderate,Add silent ride and no-music preference toggle on app
CB046,"rear door handle was broken from inside, forcing passenger to roll down window and open from outside latch",english,cab_transport,complaint,negative,vehicle,poor_vehicle_condition,medium,none,simple,Inspect internal door latch mechanics during fleet onboarding
CB047,bhaiya driver ne bina kisi nakhre ke payment UPI QR scan karke accept kar li very nice service,hinglish,cab_transport,appreciation,positive,payment,none,none,none,moderate,none
CB048,Is cash on delivery acceptable for inter-city outstation one-way drop bookings?,english,cab_transport,question,neutral,payment,none,none,none,moderate,none
CB049,"Driver drove safely, app billing accuracy wasn't.",english,cab_transport,complaint,mixed,fare,payment_issue,medium,none,simple,Audit automated route-based fare recalculation algorithms
CB050,terrible experience driver abandoned lone female passenger on dark highway link road after arguing over route shameless creep,hinglish,cab_transport,complaint,negative,safety,poor_communication,high,severe,Institute zero-tolerance deactivations for passenger abandonment,
CB051,"Arrived at domestic departure gate exactly on schedule, driver chose elevated bypass road avoiding signal bottlenecks.",english,cab_transport,appreciation,positive,navigation,none,none,none,simple,none
CB052,bhai driver ne phone karke pucha 'kahan jana hai' aur destination sunke trip cancel kar diya har baar ka yahi hai,hinglish,cab_transport,complaint,negative,cancellation,driver_cancelled,high,none,moderate,Prevent drivers from cancelling based on destination
CB053,"Honestly, I expected worn out hatchback given the budget tier, but the vehicle was a well-maintained modern compact sedan.",english,cab_transport,appreciation,mixed,vehicle,none,none,none,complex,none
CB054,"App map showed route toll bridge as closed when it was fully open, leading to an unwanted ten-kilometer detour.",english,cab_transport,complaint,negative,navigation,wrong_route,medium,none,moderate,Update road closure status feeds in real time
CB055,kya railway station parcel pickup ke liye cab driver luggage rack use karne ka extra charge leta hai?,hinglish,cab_transport,question,neutral,fare,none,none,none,moderate,none
CB056,"Driver took an unauthorized detour into rural dirt tracks claiming his personal map showed a shortcut, getting cab stuck in mud.",english,cab_transport,complaint,negative,navigation,wrong_route,high,none,moderate,Mandate in-app navigation compliance on commercial rides
CB057,"Smooth electric cab ride, completely noiseless motor, gentle acceleration, and comfortable climate control throughout.",english,cab_transport,appreciation,positive,vehicle,none,none,none,moderate,none
CB058,Transport apps should allow passengers to set preferred maximum driving speeds for highway night journeys.,english,cab_transport,suggestion,neutral,safety,none,none,none,moderate,Introduce passenger speed preference cap on outstation trips
CB059,auto driver demanded double fare during evening rain claiming waterlogging in sector roads useless transport monopoly,english,cab_transport,complaint,negative,fare,high_fare,medium,mild,Regulate fare gouging by auto drivers during rainfall,
CB060,"The cab arrived promptly and was clean, though the driver played devotional chants on high volume despite requests to lower sound.",english,cab_transport,appreciation,mixed,driver,poor_communication,low,none,moderate,Instruct drivers to respect passenger cabin volume preferences
CB061,refund kab aayega?? trip driver ne cancel kiya tha aur 50 rs mere account se cut gye,hinglish,cab_transport,question,negative,refund,refund_delay,medium,none,simple,Automate immediate reversal of wrongful cancellation fees
CB062,"Electric sedan used zero fossil fuels, smooth regenerative braking, clean eco-friendly commute across the tech park.",english,cab_transport,appreciation,positive,vehicle,none,none,none,simple,none
CB063,"In-app emergency SOS button failed to connect to emergency response desk, displaying continuous network timeout error.",english,cab_transport,complaint,negative,safety,app_issue,high,none,moderate,Ensure emergency SOS links maintain redundant cloud fallbacks
CB064,driver ne AC chalu karne ke 100 rupay extra maange cash me bolta company AC allow nahi karti,hinglish,cab_transport,complaint,negative,vehicle,unexpected_charge,medium,none,moderate,Clarify all-inclusive AC policies strictly to drivers
CB065,Are corporate discount coupon codes applicable on shared shuttle bookings between business parks?,english,cab_transport,question,neutral,fare,none,none,none,moderate,none
CB066,"Driver stopped at green traffic lights to search for dropped gutka pouch under dashboard, dangerous carelessness.",english,cab_transport,complaint,negative,safety,safety,high,none,moderate,Prohibit chewing tobacco and distractions while operating cabs
CB067,"The night ride from airport was peaceful, driver maintained steady 70 km/h cruising speed and used high beams responsibly.",english,cab_transport,appreciation,positive,safety,none,none,none,moderate,none
CB068,bhai extra luggage carrier ka 150 rupay charge kiya par car me overhead carrier tha hi nahi,hinglish,cab_transport,complaint,negative,fare,unexpected_charge,low,none,moderate,Verify physical equipment before levying ancillary luggage charges
CB069,"The ride arrived very quickly, although the smell of stale air and closed cabin humidity required rolling down all windows.",english,cab_transport,complaint,mixed,vehicle_cleanliness,unclean_vehicle,low,none,complex,Air out vehicle interiors between passenger dispatches
CB070,How long does it take for lost item retrieval tickets to be assigned to field tracking agents?,english,cab_transport,question,neutral,customer_support,none,none,none,moderate,none
CB071,"Driver fell asleep briefly at the wheel on outer ring road, vehicle drifted onto rumble strips before passenger shouted.",english,cab_transport,complaint,negative,safety,safety,high,none,moderate,Enforce maximum daily driving shift hours for cab partners
CB072,auto ride was quick through street traffic but vehicle rattles violently at speeds over 40 kmph,english,cab_transport,complaint,mixed,vehicle_condition,poor_vehicle_condition,low,none,simple,Maintain auto-rickshaw body mounts and shock dampers
CB073,subah 6 baje cab book ki thi 2 minute me driver gate pe pahunch gaya super fast service,hinglish,cab_transport,appreciation,positive,pickup,none,none,none,simple,none
CB074,Ride booking platforms should allow pre-setting AC temperature preferences directly while confirming the trip.,english,cab_transport,suggestion,neutral,vehicle,none,none,none,moderate,Add passenger AC temperature preference in booking options
CB075,cab me se heavy cigarette smoke smell aa rahi thi driver ne window open karne se bhi mana kiya,hinglish,cab_transport,complaint,negative,vehicle_cleanliness,unclean_vehicle,high,none,simple,Strictly enforce smoke-free vehicle mandates across fleet
CB076,Driver deliberately took longer state highway route avoiding new toll expressway to inflate metered distance billing.,english,cab_transport,complaint,negative,navigation,long_route,high,none,moderate,Audit circuitous routes and adjust overcharged fares automatically
CB077,"The driver handled luggage respectfully, verified destination landmark patiently, and avoided sudden braking.",english,cab_transport,appreciation,positive,driver,none,none,none,moderate,none
CB078,Does the outstation booking include commercial state entry border tax permits in the upfront estimate?,english,cab_transport,question,neutral,fare,none,none,none,moderate,none
CB079,"I wouldn't describe the driver as impolite, but playing loud phone speaker voice notes during the entire trip was distracting.",english,cab_transport,complaint,mixed,driver,poor_communication,low,none,complex,Instruct drivers to use earpieces for private communications
CB080,fraud driver entered destination manually marked trip completed and vanished with advance fare without picking me up thief,english,cab_transport,complaint,negative,driver,payment_issue,high,severe,Mandate start-trip OTP verification before trip progression,
CB081,"Smooth drop off right in front of metro concourse escalator, driver assisted with shopping trolley comfortably.",english,cab_transport,appreciation,positive,dropoff,none,none,none,simple,none
CB082,app me live vehicle tracking freeze ho jata hai driver car moving dikhti hi nahi fix this glitch,hinglish,cab_transport,complaint,negative,tracking,tracking_issue,medium,none,simple,Optimize vehicle position telemetry on passenger map
CB083,"The electric cab provided a whisper-quiet ride, though the driver declined turning on heater during chilly winter morning.",english,cab_transport,appreciation,mixed,vehicle,vehicle_problem,none,none,complex,Ensure vehicle climate control covers both cooling and heating
CB084,Are shared shuttle cabs permitted to pick up passengers inside commercial special economic zone gates?,english,cab_transport,question,neutral,pickup,none,none,none,moderate,none
CB085,bhai auto ka tyre puncture ho gaya beech raste me doosri auto book karni padi extra fare laga,hinglish,cab_transport,complaint,negative,vehicle_condition,vehicle_problem,low,none,moderate,Compensate passengers when trip terminates prematurely due to breakdown
CB086,"Driver navigated through narrow market alleys with exceptional spatial judgment, zero jerks, very calm temperament.",english,cab_transport,appreciation,positive,driver,none,none,none,simple,none
