id,text,language,service,behavior,sentiment,aspect,issue,severity,abuse,complexity,suggestion
P68-001,"I absolutely loved this banking app, transactions are fast and reliable.",english,banking_upi,appreciation,positive,app,none,none,none,simple,none
P68-002,I really loved how smoothly the UPI payment went through.,english,banking_upi,appreciation,positive,upi,none,none,none,simple,none
P68-003,"This banking app is amazing, never had a single failure.",english,banking_upi,appreciation,positive,app,none,none,none,simple,none
P68-004,This was an excellent experience while opening my digital savings account.,english,banking_upi,appreciation,positive,account,none,none,none,moderate,none
P68-005,"I enjoyed using this new scan and pay feature, works seamlessly.",english,banking_upi,appreciation,positive,upi,none,none,none,simple,none
P68-006,Highly satisfied with the instant money transfer feature.,english,banking_upi,appreciation,positive,transfer,none,none,none,simple,none
P68-007,"bhai payment experience ekdum mast tha, loved it.",hinglish,banking_upi,appreciation,positive,payment,none,none,none,simple,none
P68-008,"mujhe ye banking app bahut pasand aaya, kaafi fast hai.",hinglish,banking_upi,appreciation,positive,app,none,none,none,simple,none
P68-009,"I hated this net banking update, it keeps crashing on login.",english,banking_upi,complaint,negative,app,login_crash,high,none,moderate,Fix login crash
P68-010,This product was horrible during my urgent electricity bill payment.,english,banking_upi,complaint,negative,bill_payment,transaction_failure,high,none,moderate,Improve server reliability
P68-011,"I am very unhappy with this bank service, server is always down.",english,banking_upi,complaint,negative,server,server_down,medium,none,moderate,none
P68-012,This was a terrible experience trying to complete a simple UPI transfer.,english,banking_upi,complaint,negative,upi,transfer_delay,high,none,moderate,Speed up transfers
P68-013,"mujhe ye service bilkul pasand nahi aayi, paise atak gaye.",hinglish,banking_upi,complaint,negative,upi,money_stuck,high,none,simple,Jaldi refund do
P68-014,"ye payment app ekdum ghatiya hai, har baar error dikhata hai.",hinglish,banking_upi,complaint,negative,app,app_error,medium,none,simple,none
P68-015,I loved the instant transaction notification and receipt generation.,english,banking_upi,appreciation,positive,notification,none,none,none,simple,none
P68-016,I am very satisfied with how quickly the money was credited.,english,banking_upi,appreciation,positive,transfer,none,none,none,simple,none
P68-017,I absolutely love this product for all my daily UPI payments.,english,banking_upi,appreciation,positive,upi,none,none,none,simple,none
P68-018,"maine payment experience ko kaafi enjoy kiya, bahut smooth tha.",hinglish,banking_upi,appreciation,positive,payment,none,none,none,simple,none
P68-019,"mujhe ye UPI app bahut acha laga, transfer turant ho gaya.",hinglish,banking_upi,appreciation,positive,upi,none,none,none,simple,none
P68-020,Absolutely loved the app,english,banking_upi,appreciation,positive,app,none,none,none,simple,none
P68-021,Really amazing banking service,english,banking_upi,appreciation,positive,service,none,none,none,simple,none
P68-022,Loved the quick transfer,english,banking_upi,appreciation,positive,transfer,none,none,none,simple,none
P68-023,Works perfectly every time,english,banking_upi,appreciation,positive,app,none,none,none,simple,none
P68-024,Hated the payment delay,english,banking_upi,complaint,negative,transfer,transfer_delay,medium,none,simple,none
P68-025,Really disappointing banking app,english,banking_upi,complaint,negative,app,app_issues,medium,none,simple,none
P68-026,Awful transfer experience,english,banking_upi,complaint,negative,transfer,failed_transfer,high,none,simple,none
P68-027,Loved waiting three full working days for a simple UPI reversal.,english,banking_upi,complaint,negative,refund,refund_delay,high,none,moderate,Automate reversals
P68-028,I absolutely loved being charged a penalty fee for their technical server failure.,english,banking_upi,complaint,negative,fees,wrong_penalty,high,none,complex,Remove penalty charges
P68-029,Loved how the banking app conveniently went under maintenance right during bill payment.,english,banking_upi,complaint,negative,app,downtime,high,none,complex,none
P68-030,"loved the drama, 500 rupay kat gaye par samne wale ko mile hi nahi.",hinglish,banking_upi,complaint,negative,upi,money_deducted,high,none,moderate,Paise wapas karo
P68-031,"I don't love this new transaction layout, feels cluttered.",english,banking_upi,complaint,negative,ui,confusing_ui,low,none,simple,Simplify layout
P68-032,I wouldn't call this instant payment service fast at all.,english,banking_upi,complaint,negative,speed,slow_service,medium,none,simple,none
P68-033,"mujhe ye naya update utna acha nahi laga, purana wala behtar tha.",hinglish,banking_upi,complaint,negative,ui,poor_update,low,none,moderate,none
P68-034,"I loved the fixed deposit booking process, very intuitive.",english,banking_upi,appreciation,positive,fd,none,none,none,simple,none
P68-035,"I hated the fixed deposit withdrawal process, too complicated.",english,banking_upi,complaint,negative,fd,complex_withdrawal,medium,none,simple,none
P68-036,"ye UPI system kaafi reliable hai, har baar kaam karta hai.",hinglish,banking_upi,appreciation,positive,upi,none,none,none,simple,none
P68-037,My UPI transaction ID for this payment is 948210384.,english,banking_upi,informational,neutral,transaction,none,none,none,simple,none
P68-038,mera bank account branch me successfully transfer ho gaya hai.,hinglish,banking_upi,informational,neutral,account,none,none,none,simple,none
P68-039,I loved the fast transfer speed but hated the high convenience charge.,english,banking_upi,suggestion,mixed,charges,high_fee,low,none,moderate,Reduce fees
P68-040,app ka interface bahut badhiya hai par server response thoda slow hai.,hinglish,banking_upi,suggestion,mixed,performance,slow_speed,low,none,moderate,Speed badhao
P68-041,"I absolutely loved this cab ride, the driver was courteous and punctual.",english,cab_transport,appreciation,positive,driver,none,none,none,simple,none
P68-042,I really loved the clean car and smooth driving during peak traffic.,english,cab_transport,appreciation,positive,cleanliness,none,none,none,moderate,none
P68-043,"This cab service is amazing, arrived in less than three minutes.",english,cab_transport,appreciation,positive,punctuality,none,none,none,simple,none
P68-044,"This was an excellent journey to the airport, highly professional.",english,cab_transport,appreciation,positive,ride,none,none,none,simple,none
P68-045,"I enjoyed using this electric cab, very quiet and comfortable ride.",english,cab_transport,appreciation,positive,comfort,none,none,none,simple,none
P68-046,Highly satisfied with the polite driver and exact fare calculation.,english,cab_transport,appreciation,positive,pricing,none,none,none,simple,none
P68-047,"bhai cab ride ekdum mast thi, AC bhi full chal raha tha.",hinglish,cab_transport,appreciation,positive,comfort,none,none,none,simple,none
P68-048,"mujhe ye taxi service bahut pasand aayi, driver time pe aa gaya.",hinglish,cab_transport,appreciation,positive,punctuality,none,none,none,simple,none
P68-049,"I hated this driver's behavior, he refused to turn on the air conditioner.",english,cab_transport,complaint,negative,driver,ac_refusal,medium,none,moderate,Mandate AC usage
P68-050,"This product was horrible, the taxi booking app crashed while assigning a cab.",english,cab_transport,complaint,negative,app,booking_crash,high,none,moderate,Fix app crash
P68-051,"I am very unhappy with this cab service, driver cancelled after making me wait.",english,cab_transport,complaint,negative,driver,cancellation,high,none,moderate,Penalize cancellations
P68-052,"This was a terrible experience, driver demanded extra cash outside the app.",english,cab_transport,complaint,negative,pricing,cash_demand,high,none,moderate,Stop extra cash demands
P68-053,"mujhe ye cab ride bilkul pasand nahi aayi, gaadi bahut gandi thi.",hinglish,cab_transport,complaint,negative,cleanliness,dirty_car,medium,none,simple,Gaadi saaf rakho
P68-054,"ye cab service ekdum ghatiya hai, 25 minute baad trip cancel kar diya.",hinglish,cab_transport,complaint,negative,punctuality,late_cancellation,high,none,simple,none
P68-055,I loved the smooth highway drive and polite conversation.,english,cab_transport,appreciation,positive,driver,none,none,none,simple,none
P68-056,I am very satisfied with the safety features and live tracking.,english,cab_transport,appreciation,positive,safety,none,none,none,simple,none
P68-057,I absolutely love this app for daily office commute.,english,cab_transport,appreciation,positive,app,none,none,none,simple,none
P68-058,"maine ride ko kaafi enjoy kiya, driver ne shortcut liya aur time bachaya.",hinglish,cab_transport,appreciation,positive,route,none,none,none,moderate,none
P68-059,"mujhe ye cab booking bahut achi lagi, gaadi ekdum clean thi.",hinglish,cab_transport,appreciation,positive,cleanliness,none,none,none,simple,none
P68-060,Absolutely loved the ride,english,cab_transport,appreciation,positive,ride,none,none,none,simple,none
