id,text,language,service,behavior,sentiment,aspect,issue,severity,abuse,complexity,suggestion
HC001,Doctor listened patiently and answered every query without rushing through the consultation.,english,healthcare,appreciation,positive,doctor,none,none,none,simple,none
HC002,"The consultation was quite thorough, but waiting over seventy minutes past the scheduled slot was very exhausting.",english,healthcare,complaint,mixed,waiting_time,long_wait,medium,none,complex,Adhere strictly to consultation slot times
HC003,bhai blood test report 24 ghante me aani thi 3 din ho gaye portal pe upload nahi hui,hinglish,healthcare,complaint,negative,medical_report,report_delay,high,none,moderate,Upload diagnostic reports within promised timeframe
HC004,What are the visiting hours for relatives in the general recovery ward?,english,healthcare,question,neutral,facility,none,none,none,moderate,none
HC005,Pharmacy staff ne prescribed generic medicines turant dispense kar di billing bhi fast thi.,hinglish,healthcare,appreciation,positive,pharmacy,none,none,none,simple,none
HC006,Hospitals should implement a digital token display board in waiting lounges to track live queue progression.,english,healthcare,suggestion,neutral,waiting_time,none,none,none,moderate,Install live queue display screens in waiting areas
HC007,"cashless TPA insurance approval took seven agonizing hours, keeping discharged patient waiting in lobby unnecessarily",english,healthcare,complaint,negative,insurance,insurance_issue,high,none,moderate,Streamline TPA discharge clearance protocols
HC008,"I wouldn't call the clinic poorly managed, but the air conditioning in the ultrasound lounge was completely dysfunctional.",english,healthcare,complaint,mixed,facility,facility_problem,low,none,complex,Ensure regular maintenance of waiting room AC units
HC009,doctor was scheduled for 10 AM but arrived at 12:30 PM without reception offering any updates to waiting patients,english,healthcare,complaint,negative,appointment,appointment_delay,high,none,moderate,Notify patients proactively regarding doctor delays
HC010,Sample collection for annual health checkup was completed at 7:30 AM as scheduled by phlebotomist.,english,healthcare,informational,neutral,diagnostic_test,none,none,none,simple,none
HC011,bhai billing counter staff itna badtameez aur incompetent hai ghanta bhar invoice generate karne me laga diya,hinglish,healthcare,complaint,negative,billing,poor_staff_behavior,high,mild,Train billing staff in professional customer courtesy,
HC012,"Hospital corridors, washrooms, and patient waiting areas were sanitized and spotlessly clean throughout.",english,healthcare,appreciation,positive,hospital_cleanliness,none,none,none,simple,none
HC013,Can I reschedule my video consultation slot with the dermatologist without paying cancellation fees?,english,healthcare,question,neutral,rescheduling,none,none,none,moderate,none
HC014,radiology department delayed MRI scan by two hours because previous emergency cases were backlogged without intimation,english,healthcare,complaint,negative,diagnostic_test,test_delay,medium,none,moderate,Communicate emergency scan priority clearly to outpatient bookings
HC015,"prescribed ear drops were out of stock at in-house pharmacy, forced to search four external medical shops",english,healthcare,complaint,negative,medicine,medicine_unavailable,medium,none,simple,Maintain adequate stock of commonly prescribed drops
HC016,bhai ultrasound ke liye empty stomach 3 ghante bitha ke rakha coordination bilkul third class hai,hinglish,healthcare,complaint,negative,diagnostic_test,test_delay,high,mild,Schedule fasting ultrasound appointments in priority slots,
HC017,"The senior orthopedist handled my knee assessment with great competence, despite the noisy waiting hall nearby.",english,healthcare,appreciation,positive,doctor,none,none,none,moderate,none
HC018,Hospitals should provide SMS reminders three hours before appointment time with clear clinic wing directions.,english,healthcare,suggestion,neutral,communication,none,none,none,moderate,Send detailed SMS reminders with wing locations
