text,sentiment,clean_text
"A very, very, very slow-moving, aimless movie about a distressed, drifting young man.",negative,a very very very slowmoving aimless movie about a distressed drifting young man
"Not sure who was more lost - the flat characters or the audience, nearly half of whom walked out.",negative,not sure who was more lost the flat characters or the audience nearly half of whom walked out
"Attempting artiness with black & white and clever camera angles, the movie disappointed - became even more ridiculous - as the acting was poor and the plot and lines almost non-existent.",negative,attempting artiness with black white and clever camera angles the movie disappointed became even more ridiculous as the acting was poor and the plot and lines almost nonexistent
Very little music or anything to speak of.,negative,very little music or anything to speak of
The best scene in the movie was when Gerardo is trying to find a song that keeps running through his head.,positive,the best scene in the movie was when gerardo is trying to find a song that keeps running through his head
"The rest of the movie lacks art, charm, meaning... If it's about emptiness, it works I guess because it's empty.",negative,the rest of the movie lacks art charm meaning if its about emptiness it works i guess because its empty
Wasted two hours.,negative,wasted two hours
"Saw the movie today and thought it was a good effort, good messages for kids.",positive,saw the movie today and thought it was a good effort good messages for kids
A bit predictable.,negative,a bit predictable
Loved the casting of Jimmy Buffet as the science teacher.,positive,loved the casting of jimmy buffet as the science teacher
And those baby owls were adorable.,positive,and those baby owls were adorable
"The movie showed a lot of Florida at it's best, made it look very appealing.",positive,the movie showed a lot of florida at its best made it look very appealing
The Songs Were The Best And The Muppets Were So Hilarious.,positive,the songs were the best and the muppets were so hilarious
It Was So Cool.,positive,it was so cool
"This is a very ""right on case"" movie that delivers everything almost right in your face.",positive,this is a very right on case movie that delivers everything almost right in your face
"It had some average acting from the main person, and it was a low budget as you clearly can see.",negative,it had some average acting from the main person and it was a low budget as you clearly can see
"This review is long overdue, since I consider A Tale of Two Sisters to be the single greatest film ever made.",positive,this review is long overdue since i consider a tale of two sisters to be the single greatest film ever made
"I'll put this gem up against any movie in terms of screenplay, cinematography, acting, post-production, editing, directing, or any other aspect of film-making.",positive,ill put this gem up against any movie in terms of screenplay cinematography acting postproduction editing directing or any other aspect of filmmaking
"It's practically perfect in all of them  a true masterpiece in a sea of faux ""masterpieces.",positive,its practically perfect in all of them a true masterpiece in a sea of faux masterpieces
""" The structure of this film is easily the most tightly constructed in the history of cinema.",positive,the structure of this film is easily the most tightly constructed in the history of cinema
I can think of no other film where something vitally important occurs every other minute.,positive,i can think of no other film where something vitally important occurs every other minute
"In other words, the content level of this film is enough to easily fill a dozen other films.",positive,in other words the content level of this film is enough to easily fill a dozen other films
How can anyone in their right mind ask for anything more from a movie than this?,positive,how can anyone in their right mind ask for anything more from a movie than this
"It's quite simply the highest, most superlative form of cinema imaginable.",positive,its quite simply the highest most superlative form of cinema imaginable
"Yes, this film does require a rather significant amount of puzzle-solving, but the pieces fit together to create a beautiful picture.",positive,yes this film does require a rather significant amount of puzzlesolving but the pieces fit together to create a beautiful picture
This short film certainly pulls no punches.,negative,this short film certainly pulls no punches
Graphics is far from the best part of the game.,negative,graphics is far from the best part of the game
This is the number one best TH game in the series.,positive,this is the number one best th game in the series
It deserves strong love.,positive,it deserves strong love
It is an insane game.,positive,it is an insane game
