id,text,language,service,behavior,sentiment,aspect,issue,severity,abuse,complexity,suggestion
BK001,UPI payment went through in two seconds at the local grocery store without any glitch.,english,banking_upi,appreciation,positive,upi,none,none,none,simple,none
BK002,"The mobile banking app has an intuitive dashboard, but finding the downloadable tax statement requires navigating too many obscure menus.",english,banking_upi,complaint,mixed,mobile_app,app_issue,low,none,complex,Simplify tax statement navigation in app
BK003,bhai ATM se cash nikala nahi par account se 5000 cut gaye ab tak reversal pending hai,hinglish,banking_upi,complaint,negative,atm,atm_cash_issue,high,none,moderate,Automate failed ATM cash reversals within 24 hours
BK004,What is the daily maximum limit for outward IMPS transactions on newly registered beneficiaries?,english,banking_upi,question,neutral,transaction_limit,none,none,none,moderate,none
BK005,Credit card bill payment instant update ho gaya aur SMS receipt bhi turant aa gayi.,hinglish,banking_upi,appreciation,positive,bill_payment,none,none,none,simple,none
BK006,Banks should provide an instant lock switch for contactless tap-and-pay transactions directly from the quick access notifications.,english,banking_upi,suggestion,neutral,security,none,none,none,moderate,Add quick toggle for NFC card payments
BK007,"swiped my debit card at the fuel station twice because POS showed timeout, ended up with duplicate billing",english,banking_upi,complaint,negative,debit_card,duplicate_payment,high,none,moderate,Enhance POS terminal timeout reconciliation
BK008,"I wouldn't call the digital KYC verification impossible, but uploading address proof failed four times before succeeding.",english,banking_upi,complaint,mixed,kyc,kyc_issue,low,none,complex,none
BK009,money debited via phonepe QR but shopkeeper terminal says payment declined complete hassle during rush hour,english,banking_upi,complaint,negative,qr_payment,payment_not_received,medium,none,moderate,Improve merchant terminal sync for QR payments
BK010,Transferred fifteen thousand rupees via NEFT at 11:30 AM and the funds reached beneficiary account around 12:15 PM.,english,banking_upi,informational,neutral,bank_transfer,none,none,none,simple,none
BK011,bhai 10 din se pending refund atka hua hai customer support wale bilkul chor aur nikamme hain,hinglish,banking_upi,complaint,negative,refund,refund_delay,high,severe,moderate,Resolve pending merchant refunds immediately
BK012,Fingerprint biometric authentication on this updated banking app is remarkably fast and reliable.,english,banking_upi,appreciation,positive,mobile_app,none,none,none,simple,none
BK013,Can I link my NRE savings account to standard third-party UPI apps for domestic UPI payments?,english,banking_upi,question,neutral,account,none,none,none,moderate,none
