id,text,language,service,behavior,sentiment,aspect,issue,severity,abuse,complexity,suggestion
CS001,Support executive resolved my billing error within two minutes on live chat.,english,customer_support,appreciation,positive,chat_support,no_issue,none,none,simple,none
CS002,"The support agent spoke very politely, but transferred my call to three different departments without resolving the issue.",english,customer_support,complaint,mixed,department_transfer,department_transfer_delay,medium,none,complex,Avoid multiple department transfers for a single query.
CS003,bhai 5 din ho gaye ticket raise kiye hue abhi tak kisi ne reply nahi diya,hinglish,customer_support,complaint,negative,ticket,slow_response,high,none,moderate,Improve first-response time on open tickets.
CS004,Can I get an update on ticket reference number 45892?,english,customer_support,question,neutral,ticket,no_issue,none,none,simple,none
CS005,"Agent ne screen share karke step by step setting fix karwai, outstanding support.",hinglish,customer_support,appreciation,positive,technical_support,no_issue,none,none,simple,none
CS006,Customer support systems should allow users to schedule a callback instead of waiting on hold.,english,customer_support,suggestion,neutral,callback,other_relevant_issue,low,none,moderate,Allow customers to request callbacks.
CS007,the chat representative abruptly disconnected the session while I was uploading proof documents,english,customer_support,complaint,negative,chat_support,chat_disconnect,high,none,moderate,Prevent premature chat session terminations.
CS008,"I wouldn't say the support was utterly useless, but answering basic verification questions five times was exhausting.",english,customer_support,complaint,mixed,verification,verification_problem,low,none,complex,Reduce repeated verification across agents.
CS009,automated bot keeps looping generic help articles and gives no option to connect with an actual human,english,customer_support,complaint,negative,automation,automated_response_issue,medium,none,moderate,Provide a direct option to connect with human agents.
CS010,Ticket was logged at 10 AM regarding password reset and confirmation was received on email.,english,customer_support,informational,neutral,ticket,no_issue,none,none,simple,none
CS011,bhai kya ghatiya aur bakwaas support hai 2 ghante se call hold pe daal rakhi hai chor staff,hinglish,customer_support,complaint,negative,call_support,long_waiting_time,high,mild,Reduce hold times during peak hours.,
CS012,"The email support team sent clear step-by-step instructions with annotated screenshots, issue sorted.",english,customer_support,appreciation,positive,email_support,no_issue,none,none,simple,none
CS013,Can I request Hindi language assistance for my elderly father?,english,customer_support,question,neutral,language_support,no_issue,none,none,simple,none
CS014,agent gave completely incorrect information regarding refund eligibility leading to unnecessary confusion,english,customer_support,complaint,negative,communication,wrong_information,high,none,moderate,Train agents on updated company policies.
CS015,callback requested yesterday afternoon but no representative has reached out yet,english,customer_support,complaint,negative,callback,callback_delay,medium,none,simple,Honor callback commitments within specified timeframes.
CS016,bhai ticket close kardi resolved mark karke jabki problem abhi bhi same hai,hinglish,customer_support,complaint,negative,ticket,incomplete_resolution,high,none,moderate,Do not close tickets without customer verification.
CS017,"The executive was remarkably patient and explained the tariff breakdown in detail, highly satisfied.",english,customer_support,appreciation,positive,agent_behavior,no_issue,none,none,moderate,none
CS018,Support portals should display estimated queue wait times before entering live chat.,english,customer_support,suggestion,neutral,waiting_time,other_relevant_issue,low,none,moderate,Display estimated queue wait times.
CS019,bhai coupon issue explain kiya par bot ne irrelevant return policy paste kardi,hinglish,customer_support,complaint,negative,automation,automated_response_issue,medium,none,moderate,Improve intent detection in automated chatbots.
CS020,The helpline supervisor personally followed up via phone to ensure my network issue was resolved.,english,customer_support,appreciation,positive,follow_up,no_issue,none,none,moderate,none
CS021,"Although the initial executive answered promptly, the escalation team took four days to acknowledge the ticket.",english,customer_support,complaint,mixed,escalation,escalation_delay,medium,none,complex,Escalate unresolved issues faster.
CS022,unprofessional executive started arguing and raised his voice when I asked for a supervisor escalation,english,customer_support,complaint,negative,agent_behavior,rude_agent,high,none,moderate,Train support agents in de-escalation techniques.
CS023,mera complaint number 99321 hai aur account verification ke regarding pending hai,hinglish,customer_support,informational,neutral,account_support,no_issue,none,none,simple,none
CS024,Is 24/7 emergency telephone support available for corporate account outages?,english,customer_support,question,neutral,availability,no_issue,none,none,moderate,none
CS025,Your support staff are absolute idiots who cannot understand plain English and keep closing my ticket useless frauds,english,customer_support,complaint,negative,agent_behavior,rude_agent,high,severe,Provide senior escalations for complex inquiries.,
CS026,executive ne Hindi me bohot acche se samjhaya aur issue 5 minute me solve kar diya,hinglish,customer_support,appreciation,positive,language_support,no_issue,none,none,simple,none
CS027,"I wouldn't call the interaction hostile, but the agent seemed clearly uninterested and provided one-word answers.",english,customer_support,complaint,mixed,agent_behavior,poor_communication,low,none,complex,Improve agent engagement and active listening.
CS028,"Refund query was resolved on the first call, credit reflected in my bank account in two hours.",english,customer_support,appreciation,positive,refund_support,no_issue,none,none,moderate,none
CS029,kya me active ticket me extra screenshots attach kar sakta hu?,hinglish,customer_support,question,neutral,ticket,no_issue,none,none,simple,none
CS030,"Frontline agent promised a senior manager callback by 4 PM, but no one bothered to call.",english,customer_support,complaint,negative,callback,callback_delay,medium,mild,Ensure committed callbacks are delivered on schedule.,
CS031,"Chat session froze repeatedly on mobile web, forcing me to start over with a new representative thrice.",english,customer_support,complaint,negative,chat_support,chat_disconnect,medium,none,moderate,Optimize chat widget performance on mobile browsers.
CS032,App crashed while uploading PAN card photo for KYC verification and support told me to wait 7 business days.,english,customer_support,complaint,negative,verification,verification_problem,high,none,complex,Provide alternative manual document upload channels.
CS033,"The representative had a very pleasant demeanor, although she lacked the technical knowledge to debug API errors.",english,customer_support,appreciation,mixed,technical_support,technical_support_issue,low,none,complex,Route technical inquiries directly to specialized teams.
CS034,bhai email bheja tha attachment ke sath unhone bola screenshot nahi mila jabki clearly attached tha,hinglish,customer_support,complaint,negative,email_support,poor_communication,medium,none,moderate,Ensure support tools render email attachments reliably.
CS035,"Prompt and crisp resolution, executive verified OTP and unlocked my account in sixty seconds.",english,customer_support,appreciation,positive,account_support,no_issue,none,none,moderate,none
CS036,kya ticket close hone ke baad re-open karne ka option rehta hai?,hinglish,customer_support,question,neutral,ticket,no_issue,none,none,moderate,none
CS037,"Support agent stayed on call past his shift end until my server connection was fully operational, wonderful dedication.",english,customer_support,appreciation,positive,agent_behavior,no_issue,none,none,complex,none
CS038,"Clean user interface on the help desk portal, tracking ticket history and resolution notes is effortless.",english,customer_support,appreciation,positive,ticket,no_issue,none,none,moderate,none
CS039,"Agent blatantly lied claiming my refund was processed yesterday, but my bank statement shows zero incoming credit.",english,customer_support,complaint,negative,communication,wrong_information,high,none,moderate,Verify financial transaction status before briefing customers.
CS040,pls check my ticket abhi tk update nhi hua 3 din ho gye h,hinglish,customer_support,complaint,negative,ticket,ticket_delay,medium,none,simple,Provide clearer ticket status updates.
CS041,"While the initial response was delivered quickly, the technical fix took over two weeks with zero intermittent updates.",english,customer_support,complaint,mixed,resolution_time,slow_response,medium,none,complex,Send periodic progress updates on long-running tickets.
CS042,Can someone from the grievance redressal department give me a call regarding my pending insurance claim?,english,customer_support,question,neutral,escalation,no_issue,none,none,moderate,none
CS043,support number pe call karo to 15 minute bas music sunate hain koi human pick nahi karta,hinglish,customer_support,complaint,negative,call_support,long_waiting_time,medium,none,simple,Increase call center staffing during business hours.
CS044,"Everything was running fine until the agent entered the wrong email address during profile updates, locking my access.",english,customer_support,complaint,mixed,account_support,account_support_issue,medium,none,moderate,Double-check customer profile updates before saving.
CS045,Support portals should permit users to mark ticket urgency as critical for live service disruptions.,english,customer_support,suggestion,neutral,ticket,other_relevant_issue,low,none,moderate,Allow customers to flag critical service disruptions.
CS046,the representative spoke in a robotic monotone and repeatedly read scripted answers that did not address my issue,english,customer_support,complaint,negative,communication,poor_communication,medium,none,simple,Encourage conversational problem-solving over scripts.
CS047,bhaiya ne bohot acche se samjhaya aur mere sare doubts clear kar diye thanks a lot,hinglish,customer_support,appreciation,positive,agent_behavior,no_issue,none,none,moderate,none
CS048,Is there an email address where I can file a formal complaint with the nodal officer?,english,customer_support,question,neutral,complaint_handling,no_issue,none,none,moderate,none
CS049,"Agent was courteous, service speed wasn't.",english,customer_support,complaint,mixed,resolution_time,slow_response,medium,none,simple,Improve resolution turnaround speed.
CS050,terrible experience agent disconnected the call on my face when I refused to accept his invalid explanation shameless,hinglish,customer_support,complaint,negative,agent_behavior,rude_agent,high,severe,Penalize staff who disconnect customer calls.,
CS051,Automated chat bot recognized my intent immediately and generated an instant return shipping label.,english,customer_support,appreciation,positive,automation,no_issue,none,none,simple,none
CS052,bhai ticket raise kiya tha par confirmation SMS ya email me reference ID nahi mila,hinglish,customer_support,complaint,negative,ticket,ticket_delay,medium,none,moderate,Send instant SMS confirmations with ticket IDs.
CS053,"Honestly, I expected prolonged bureaucratic hurdles, but the executive approved my name change request in ten minutes.",english,customer_support,appreciation,mixed,account_support,no_issue,none,none,complex,none
CS054,Live chat agent keeps pasting standard FAQ links instead of answering my question about GST billing.,english,customer_support,complaint,negative,chat_support,poor_communication,medium,none,moderate,Train agents to answer specific billing inquiries directly.
CS055,kya call center executives regional language jaise Tamil ya Bengali me available hain?,hinglish,customer_support,question,neutral,language_support,no_issue,none,none,moderate,none
CS056,"Support executive sent sensitive account statements of another user to my email address, shocking data breach.",english,customer_support,complaint,negative,account_support,account_support_issue,high,none,moderate,Enforce strict data verification before sending records.
CS057,The self-service interactive voice response menu is concise and connects to account balance details in two taps.,english,customer_support,appreciation,positive,call_support,no_issue,none,none,moderate,none
CS058,Help desks should provide a feature to download full chat transcripts as PDF upon session closure.,english,customer_support,suggestion,neutral,chat_support,other_relevant_issue,low,none,moderate,Offer downloadable PDF chat transcripts.
CS059,"repeatedly contacted helpline five times regarding lost consignment, each representative gave contradictory updates useless support",english,customer_support,complaint,negative,call_support,repeated_contact,medium,mild,Maintain synchronized notes across support touchpoints.,
CS060,"The tier-1 agent was eager to assist, though she lacked authorization to waive an erroneous late fee directly.",english,customer_support,appreciation,mixed,agent_behavior,incomplete_resolution,low,none,moderate,Empower frontline agents with minor fee waiver authority.
CS061,refund kab tak ayega?? 10 din ho gye h ticket pe koi update nhi h,hinglish,customer_support,question,negative,refund_support,refund_support_delay,medium,none,simple,Expedite refund processing updates.
CS062,"Clear communication, zero waiting queue, agent resolved my address change request on the first call.",english,customer_support,appreciation,positive,issue_resolution,no_issue,none,none,simple,none
CS063,"In-app support desk does not work on weekends, leaving customers stranded during Saturday outages.",english,customer_support,complaint,negative,availability,support_unavailable,medium,none,moderate,Provide weekend emergency support coverage.
CS064,ticket update me likha hai 'customer unreachable' jabki phone pe koi missed call nahi thi,hinglish,customer_support,complaint,negative,ticket,poor_communication,medium,none,moderate,Verify outbound call logs before marking unreachable.
CS065,Can corporate subscribers get a dedicated relationship manager for billing escalations?,english,customer_support,question,neutral,account_support,no_issue,none,none,moderate,none
CS066,"Executive demanded that I read out my full debit card CVV over the phone for identity verification, alarming security risk.",english,customer_support,complaint,negative,verification,verification_problem,high,none,moderate,Prohibit agents from requesting card security codes.
CS067,The WhatsApp support channel answered within forty seconds and provided a functional direct tracking link.,english,customer_support,appreciation,positive,response_time,no_issue,none,none,moderate,none
CS068,bhai extra verification documents upload kar diye par 3 din se pending verification status show ho raha hai,hinglish,customer_support,complaint,negative,verification,verification_problem,low,none,moderate,Accelerate document verification queues.
CS069,"The support person was very polite and tried her best, although the backend database glitch took three days to rectify.",english,customer_support,complaint,mixed,resolution_time,slow_response,medium,none,complex,Enhance backend engineering turnaround for bug fixes.
CS070,How long does the tier-2 escalation team take to review disputed card transactions?,english,customer_support,question,neutral,escalation,no_issue,none,none,moderate,none
CS071,Agent closed my support session without asking if I had additional questions while my second issue was still open.,english,customer_support,complaint,negative,agent_behavior,poor_communication,high,none,moderate,Require agent confirmation before ending support chats.
CS072,customer support was responsive on chat but resolving the account unfreeze took five working days,english,customer_support,complaint,mixed,resolution_time,slow_response,low,none,simple,Streamline account unfreeze approvals.
